cap,city,description,details,price,title,url
 1209, Genève,", Genève - RF-HBRDQ-10 / Eigentumswohnung / CH-1209 Genève","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 261 m', ' Locali ': ' 6 ', ' Piano ': ' Mezzanino ', ' Anno di costruzione ': ' 2014 ', ' Codice immobile ': ' 4269760 ', ' Numero oggetto ': ' ..0a390409-63ae-46d0-92b7-94a94e3b4b8e '}", su richiesta ,Appartamento 6 Locali,
 1234, Vessy,", Vessy - #3275484 / Attikawohnung / CH-1234 Vessy / CHF 2'200'000.-","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 2008 ', ' Codice immobile ': ' 4786852 ', ' Numero oggetto ': ' ..b6087c55-c1d4-4d13-8dc4-3516871f9e9f '}", 2'200'000.– ,Attico 6 Locali,
 1206, Genève,", Genève - Exclusivité - Splendide attique en plein coeur de Florissant","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 177 m', ' Locali ': ' 5 ', ' Piano ': ' 7° piano ', ' Codice immobile ': ' 4831318 ', ' Numero oggetto ': ' ..c87f581d-0100-4c52-aab3-7ff504b59845 '}", 3'700'000.– ,Appartamento 5 Locali,
 1201, Genève,", Genève - Luxueux et élégant duplex en attique","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 521 m', ' Locali ': ' 12 ', ' Piano ': ' 3° piano ', ' Piani della casa ': ' 2 ', ' Codice immobile ': ' 4788219 ', ' Numero oggetto ': ' ..68e573dd-98f4-4c13-bd82-56644db6d304 '}", su richiesta ,Appartamento 12 Locali,
 1223, Cologny,", Cologny - Rez-de-jardin de haut standing à Cologny","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 174 m', ' Locali ': ' 5.5 ', ' Anno di costruzione ': ' 2021 ', ' Codice immobile ': ' 4868976 ', ' Numero oggetto ': ' ..c4bfa137-c296-4c7d-bbcd-be9e6a4f20f6 '}", su richiesta ,Appartamento 5.5 Locali,
 1207, Genève,", Genève - GENEVE RIVE GAUCHE - SPLENDIDE VILLA - 6.0 PIECES","{' Tipo di oggetto ': ' Villa ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 173 m', ' Locali ': ' 6 ', ' Piani della casa ': ' 3 ', ' Codice immobile ': ' 4346064 ', ' Numero oggetto ': ' ..53a18aae-16a1-469f-aef7-ee6d9e03a1a0 '}", 2'700'000.– ,Villa 6 Locali,
 1219, Le Lignon,", Le Lignon - Rare à la vente : 4 pièces avec 2 balcons et vue dégagée sur le Jur...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 73 m', ' Locali ': ' 4 ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 4856005 ', ' Numero oggetto ': ' ..b0e86239-f047-4da1-8dab-e8cc0d35de2a '}", 990'000.– ,Appartamento 4 Locali,
 1203, Genève,", Genève - EN EXCLUSIVITE ! Superbe triplex avec terrasse en toiture, spa et f...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 171 m', ' Locali ': ' 5 ', ' Piano ': ' 3° piano ', ' Piani della casa ': ' 3 ', ' Anno di costruzione ': ' 2013 ', ' Codice immobile ': ' 4298504 ', ' Numero oggetto ': ' ..75318af3-d821-452f-9d92-7d6e9ca4cb38 '}", 2'560'000.– ,Appartamento 5 Locali,
 1209, Genève,", Genève - Bel attique proche des Organisations Internationales","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 141 m', ' Locali ': ' 5 ', ' Piano ': ' 5° piano ', ' Piani della casa ': ' 2 ', ' Anno di costruzione ': ' 1996 ', ' Codice immobile ': ' 4605311 ', ' Numero oggetto ': ' ..81191ec5-699e-4c26-89e6-6d4429d564ae '}", 1'790'000.– ,Attico 5 Locali,
 1209, Genève,", Genève - Esprit contemporain au Petit-Saconnex","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 167 m', ' Locali ': ' 6 ', ' Piano ': ' 4° piano ', ' Anno di costruzione ': ' 2009 ', ' Codice immobile ': ' 4856936 ', ' Numero oggetto ': ' ..3395d9b3-416a-41f3-8b4e-2e069cd2b4e8 '}", 2'250'000.– ,Appartamento 6 Locali,
" Rue de la Cité,", 1204,", Genève - Appartement d'artiste au coeur de la Vieille-ville","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 157 m', ' Locali ': ' 4 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1520 ', ' Ultima ristrutturazione ': ' 1999 ', ' Codice immobile ': ' 4856592 ', ' Numero oggetto ': ' ..92b4c90c-d117-4ffa-85e7-8b20ced3ac7d '}", 3'950'000.– ,Appartamento 4 Locali,
 1206, Genève,", Genève - Verkauf - Wohnung Genf","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 204.5 m', ' Locali ': ' 5 ', ' Piano ': ' 6° piano ', ' Anno di costruzione ': ' 1985 ', ' Codice immobile ': ' 3497006 ', ' Numero oggetto ': ' ..b0ff91ae-bfc7-4f19-aff1-10332f65cfdc '}", 3'580'000.– ,Appartamento 5 Locali,
 1201, Genève,", Genève - #3056446 / Durchgehende Wohnung / CH-1201 Genève / CHF 2'350'000.-","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 187.4 m', ' Locali ': ' 6 ', ' Piano ': ' 5° piano ', ' Anno di costruzione ': ' 1973 ', ' Ultima ristrutturazione ': ' 2011 ', ' Codice immobile ': ' 4284171 ', ' Numero oggetto ': ' ..4e4ca31d-b5d4-49bb-bfd4-718e9d6d879e '}", 2'350'000.– ,Appartamento 6 Locali,
 1223, Cologny,", Cologny - Une adresse de prestige","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 133 m', ' Locali ': ' 4 ', ' Piano ': ' 2° piano ', ' Anno di costruzione ': ' 1981 ', ' Codice immobile ': ' 4334342 ', ' Numero oggetto ': ' ..8d0630c3-a05e-48b7-8002-606b07e2792f '}", su richiesta ,Appartamento 4 Locali,
 1223, Cologny,", Cologny - Alleinstehendes Haus zum/zur Verkaufen in Rive gauche in Cologny","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Locali ': ' 8 ', ' Codice immobile ': ' 4317248 ', ' Numero oggetto ': ' ..aaa0da46-625e-41a8-ac95-2ddf254138c7 '}", su richiesta ,Casa monofamiliare 8 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Magnifique villa au coeur de la Gradelle","{' Tipo di oggetto ': ' Villa ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 170 m', ' Locali ': ' 6 ', ' Codice immobile ': ' 4815920 ', ' Numero oggetto ': ' ..69f65526-2b4a-4961-a47c-2b1940e99918 '}", 2'890'000.– ,Villa 6 Locali,
 1205, Genève,", Genève - Attique d'Exception à 15' des Eaux-Vives","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 235 m', ' Locali ': ' 7 ', ' Codice immobile ': ' 4831503 ', ' Numero oggetto ': ' ..84d75b17-7a28-4671-8560-0ab096327fb5 '}", 1'350'000.– ,Attico 7 Locali,
 1209, Genève,", Genève - 3 Zimmer Wohnung","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 98 m', ' Locali ': ' 3 ', ' Piano ': ' 3° piano ', ' Codice immobile ': ' 4464355 ', ' Numero oggetto ': ' ..854541f8-7105-464c-821f-1fa0d34a00bf '}", 1'175'000.– ,Appartamento 3 Locali,
 1223, Cologny,", Cologny - COLOGNY - Maison de charme avec magnifique vue lac","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 440 m', ' Locali ': ' 14 ', ' Piani della casa ': ' 2 ', ' Codice immobile ': ' 4869315 ', ' Numero oggetto ': ' ..260e883a-bace-4d19-b33e-ee06b037981e '}", 14'000'000.– ,Casa monofamiliare 14 Locali,
 1208, Genève,", Genève - Magnifique appartement moderne","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 340 m', ' Locali ': ' 9 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1985 ', ' Ultima ristrutturazione ': ' 2017 ', ' Codice immobile ': ' 4466073 ', ' Numero oggetto ': ' ..1a992525-7e5b-4ace-98e5-310be594c954 '}", 7'000'000.– ,Appartamento 9 Locali,
 1202, Genève,", Genève - GENEVE VILLE - BEL APPARTEMMENT - 4.5 PIECES","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 119 m', ' Locali ': ' 4.5 ', ' Piano ': ' 5° piano ', ' Codice immobile ': ' 4467940 ', ' Numero oggetto ': ' ..898bba07-5fd5-432b-b02f-55c381a72da6 '}", 1'600'000.– ,Appartamento 4.5 Locali,
 1209, Genève,", Genève - Appartement Penthouse Luxueux avec vue lac à Genève","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 381 m', ' Locali ': ' 11 ', ' Ultima ristrutturazione ': ' 2007 ', ' Codice immobile ': ' 4494210 ', ' Numero oggetto ': ' ..8be98a42-180f-4141-a572-bdbddb4df47f '}", su richiesta ,Appartamento 11 Locali,
 1223, Cologny,", Cologny - Luxueux Penthouse face au lac (lot C) - Résidences de la Tour Carrée","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 728 m', ' Locali ': ' 11 ', ' Piano ': ' 1° piano ', ' Condizioni ': ' Nuova costruzione ', ' Codice immobile ': ' 4477413 ', ' Numero oggetto ': ' ..dc4d93f1-de2f-447a-8f30-4529a4194ee1 '}", su richiesta ,Appartamento 11 Locali,
 1218, Le Grand-Saconnex,", Le Grand-Saconnex - EN EXCLUSIVITÉ : Investissement - spacieux 3 pièces au sein d'une r...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 121 m', ' Locali ': ' 3 ', ' Ultima ristrutturazione ': ' 2021 ', ' Codice immobile ': ' 4769507 ', ' Numero oggetto ': ' ..d125035c-b2c4-4612-9edf-bf8d56dbe874 '}", 1'175'000.– ,Appartamento 3 Locali,
 1205, Genève,", Genève - Appartement avec vue panoramique sur le Rhône","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 329 m', ' Locali ': ' 7 ', ' Piano ': ' 4° piano ', ' Codice immobile ': ' 4300815 ', ' Numero oggetto ': ' ..5505c2bd-3ad3-4726-9456-5d685e02936c '}", su richiesta ,Appartamento 7 Locali,
 1234, Vessy,", Vessy - Bel attique traversant, quartier verdoyant, Vessy","{' Tipo di oggetto ': ' Attico ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 149 m', ' Locali ': ' 6 ', ' Anno di costruzione ': ' 2008 ', ' Codice immobile ': ' 4773190 ', ' Numero oggetto ': ' ..5815b42b-9879-4082-9504-cf3ed5b69758 '}", 2'200'000.– ,Attico 6 Locali,
 1206, Genève,", Genève - Rare à la vente - Superbe appartement de 6 pièces en rez-de-jardin ...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 173 m', ' Locali ': ' 6 ', ' Codice immobile ': ' 4856080 ', ' Numero oggetto ': ' ..6033f947-96cd-49c4-8741-1cda138fecfc '}", 3'400'000.– ,Appartamento 6 Locali,
 1209, Genève,", Genève - Genève penthouse","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 381 m', ' Locali ': ' 11 ', ' Piano ': ' 7° piano ', ' Piani della casa ': ' 9 ', ' Anno di costruzione ': ' 1975 ', ' Ultima ristrutturazione ': ' 2016 ', ' Codice immobile ': ' 4498273 ', ' Numero oggetto ': ' ..730473b5-a455-4d11-af6d-5a74579b7eb8 '}", su richiesta ,Appartamento su due piani 11 Locali,
 1201, Genève,", Genève - Appartement de 3.5 pièces Résidence ""Rossi 16","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 64 m', ' Locali ': ' 3.5 ', ' Piano ': ' 3° piano ', ' Piani della casa ': ' 1 ', ' Anno di costruzione ': ' 2018 ', ' Codice immobile ': ' 4770068 ', ' Numero oggetto ': ' ..f110543d-a20a-4cf8-8aa2-a4b332b0dce4 '}", 1'050'000.– ,Appartamento 3.5 Locali,
 1203, Genève,", Genève - GENEVE - Quartier des Délices","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 175 m', ' Locali ': ' 6 ', ' Codice immobile ': ' 4545170 ', ' Numero oggetto ': ' ..b925e196-e093-420a-93e4-bdeacbfa270a '}", 2'190'000.– ,Appartamento 6 Locali,
 1224, Chêne-Bougeries,", Chêne-Bougeries - Appartement de 2,5 pièces","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 52 m', ' Locali ': ' 2.5 ', ' Piano ': ' 6° piano ', ' Codice immobile ': ' 4866053 ', ' Numero oggetto ': ' ..b270c533-9a93-47bd-b64b-7e2b7eec6ca6 '}", 799'000.– ,Appartamento 2.5 Locali,
 1201, Genève,", Genève - 8 pièces bord du Rhône","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 312 m', ' Locali ': ' 8 ', ' Codice immobile ': ' 4772545 ', ' Numero oggetto ': ' ..8a2226f9-5f81-41eb-80b3-e7551d5e1423 '}", 4'750'000.– ,Appartamento 8 Locali,
 1207, Genève,", Genève - Prestigieux 8 pièces sur la rade","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 221 m', ' Locali ': ' 8 ', ' Codice immobile ': ' 4772531 ', ' Numero oggetto ': ' ..89225207-fb47-4661-bd79-5bab0eff8452 '}", 5'980'000.– ,Appartamento 8 Locali,
" Route de Vessy,", 1234,", Vessy - Superbe villa familiale, pratiquement neuve avec appartement indépe...","{' Tipo di oggetto ': ' Casa bifamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 195 m', ' Locali ': ' 8 ', ' Piani della casa ': ' 2 ', ' Anno di costruzione ': ' 2011 ', ' Codice immobile ': ' 4332428 ', ' Numero oggetto ': ' ..289abd00-fd3f-4019-b6e1-4521e385b3fd '}", 2'350'000.– ,Casa bifamiliare 8 Locali,
 1209, Genève,", Genève - Penthouse en triplex, vue lac à Genève","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 381 m', ' Locali ': ' 11 ', ' Ultima ristrutturazione ': ' 2007 ', ' Codice immobile ': ' 4770538 ', ' Numero oggetto ': ' ..f8b3709c-bdc4-4b27-bb67-11881e08fd02 '}", 5'990'000.– ,Casa monofamiliare 11 Locali,
 1206, Genève,", Genève - EN EXCLUSIVITE: Magnifique 6 pièces en pignon dans une résidence de...","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 176 m', ' Locali ': ' 6 ', ' Piano ': ' 3° piano ', ' Anno di costruzione ': ' 1970 ', ' Codice immobile ': ' 4774493 ', ' Numero oggetto ': ' ..7cb39814-256c-4602-87ee-a76ec7c60967 '}", 3'200'000.– ,Appartamento 6 Locali,
 1208, Genève,", Genève - Viager occupé. Immeuble de standing. 7 pièces , 2 grands balcons.","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 239 m', ' Locali ': ' 7 ', ' Piano ': ' 6° piano ', ' Anno di costruzione ': ' 1956 ', ' Codice immobile ': ' 4775359 ', ' Numero oggetto ': ' ..652a6bf5-46a1-4fcb-ab2e-500ec4629b6a '}", 2'300'000.– ,Appartamento 7 Locali,
 1223, Cologny,", Cologny - Eine der besten Aussichten auf Cologny","{' Tipo di oggetto ': ' Casa monofamiliare ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 500 m', ' Locali ': ' 8 ', ' Codice immobile ': ' 4777986 ', ' Numero oggetto ': ' ..5a0b0af7-44a0-4d8b-b480-62b54ece3fde '}", su richiesta ,Casa monofamiliare 8 Locali,
" Chemin de Conches,", 1231,", Conches - Luxueux appartement en duplex dans un parc","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 282 m', ' Locali ': ' 4.5 ', ' Anno di costruzione ': ' 1986 ', ' Ultima ristrutturazione ': ' 2007 ', ' Codice immobile ': ' 4778045 ', ' Numero oggetto ': ' ..951b6365-921e-4864-a29f-6978081d7ca1 '}", 4'100'000.– ,Appartamento 4.5 Locali,
 1206, Genève,", Genève - Spacieux appartement de haut standing au coeur de Florissant","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 177 m', ' Locali ': ' 7 ', ' Piano ': ' 6° piano ', ' Anno di costruzione ': ' 1970 ', ' Ultima ristrutturazione ': ' 1997 ', ' Codice immobile ': ' 4296807 ', ' Numero oggetto ': ' ..4478a00e-6e8d-47f3-817b-234cd56f25be '}", 2'590'000.– ,Appartamento 7 Locali,
 1213, Petit-Lancy,", Petit-Lancy - Lumineux 4.5 pièces avec beau balcon et vue","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 105 m', ' Locali ': ' 4.5 ', ' Anno di costruzione ': ' 1972 ', ' Codice immobile ': ' 4777543 ', ' Numero oggetto ': ' ..705332ca-bca5-4114-8ec1-19a69d6a4e21 '}", 1'400'000.– ,Appartamento 4.5 Locali,
 1203, Genève,", Genève - Exclusivité ? Appartement Duplex 7P en Rez de jardin","{' Tipo di oggetto ': ' Appartamento su due piani ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 300 m', ' Locali ': ' 7 ', ' Codice immobile ': ' 4291507 ', ' Numero oggetto ': ' ..6731da87-1d76-47e3-8031-51f488d98670 '}", 3'400'000.– ,Appartamento su due piani 7 Locali,
" Chemin Jean-Achard 19,", 1231,", Conches - Luxueux appartement dans un parc","{' Tipo di oggetto ': ' Appartamento ', ' Disponibilità ': ' da concordare ', ' Superficie abitabile ': ' 590 m', ' Locali ': ' 11 ', ' Piani della casa ': ' 7 ', ' Anno di costruzione ': ' 1986 ', ' Ultima ristrutturazione ': ' 2007 ', ' Codice immobile ': ' 4782999 ', ' Numero oggetto ': ' ..41ec6fab-be54-464a-99bc-5b6a1bbacf39 '}", su richiesta ,Appartamento 11 Locali,
